country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,year,month,continent
Argentina,ARG,2021-02-06,12801115,9924476,2876639,210007,28.07,21.76,6.31,4605,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,February,South America
Argentina,ARG,2021-01-06,12497078,9667003,2830075,179267,27.4,21.2,6.21,3931,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,January,South America
Argentina,ARG,2021-05-31,12257297,9476406,2780891,158261,26.88,20.78,6.1,3470,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-30,12119901,9361218,2758683,150336,26.58,20.53,6.05,3296,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-29,11906697,9208883,2697814,135434,26.11,20.19,5.92,2970,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-05-28,11676733,9084600,2592133,131136,25.6,19.92,5.68,2875,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-03-08,32695882,25337678,7358204,352214,71.69,55.56,16.13,7723,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,March,South America
Argentina,ARG,2021-05-26,11331066,8878491,2452575,135306,24.85,19.47,5.38,2967,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,May,South America
Argentina,ARG,2021-03-06,13079195,10158653,2920542,225103,28.68,22.27,6.4,4936,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,March,South America
Argentina,ARG,2021-04-08,33335932,25646674,7689258,382951,73.1,56.24,16.86,8397,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,April,South America
Argentina,ARG,2021-12-09,46894772,28706802,18188230,356191,102.83,62.95,39.88,7810,"CanSino, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health,2021,December,South America
